id,name,subscian,subscian_desc,strata,lat,lng,weight,rooms_prior,rooms_manual,rooms_source,rooms_final,suspicious
denue/7878579,CASA OHANA,721112,Hotel sin servicios integrados,0 a 5 personas,21.52130888,-87.3781678,3.0,4,5,booking,5,
denue/10541438,ECO CABAÑAS LAAK,721190,"Cabañas, villas y similares",0 a 5 personas,21.5177631,-87.38629414,2.4,3,5,official,5,
denue/10907551,HOSTAL WAKAC,721190,"Cabañas, villas y similares",0 a 5 personas,21.52435335,-87.37679938,2.4,3,5,estimate,5,
denue/12289081,HOTEL CASA CATBA,721111,Hotel con servicios integrados,6 a 10 personas,21.52361039,-87.38199028,10.4,14,5,official,5,
denue/10808682,HOTEL CASA CORONA HOLBOX,721112,Hotel sin servicios integrados,0 a 5 personas,21.52115554,-87.37688065,3.0,4,5,booking,5,
denue/10667857,HOTEL EL JARDIN DE LOS ALUXES,721112,Hotel sin servicios integrados,0 a 5 personas,21.51813997,-87.38298697,3.0,4,5,booking,5,
denue/11358483,HOTEL LIFESTYLE KB,721112,Hotel sin servicios integrados,0 a 5 personas,21.52353997,-87.37967218,3.0,4,5,estimate,5,
denue/11449417,HOTEL VILLA LOS MANGLES HOLBOX,721112,Hotel sin servicios integrados,0 a 5 personas,21.52716175,-87.37271898,3.0,4,5,official,5,
denue/8132480,POSADA CLARITA,721311,Pensiones y casas de huéspedes,0 a 5 personas,21.52395408,-87.37854276,1.5,2,5,tripadvisor,5,
denue/9559253,POSADA DON PANCHON Y MARUXA,721311,Pensiones y casas de huéspedes,0 a 5 personas,21.52270089,-87.3771879,1.5,2,5,booking,5,
denue/11298772,CASA KA ANCHE CAMPING,721210,Campamentos y albergues,0 a 5 personas,21.52405166,-87.37707644,1.2,2,4,estimate,4,
denue/9279325,CASA LUZ,721112,Hotel sin servicios integrados,0 a 5 personas,21.51945021,-87.38665699,3.0,4,4,booking,4,
denue/10600063,HOTEL POSADA DAVID,721112,Hotel sin servicios integrados,0 a 5 personas,21.52486269,-87.37735757,3.0,4,4,estimate,4,
denue/11373353,KIN CAMPING,721210,Campamentos y albergues,0 a 5 personas,21.51958492,-87.38178929,1.2,2,4,estimate,4,
denue/8132482,POSADA AMAPOLA,721311,Pensiones y casas de huéspedes,0 a 5 personas,21.52399145,-87.37859009,1.5,2,4,estimate,4,
denue/8132354,POSADA LAURY,721311,Pensiones y casas de huéspedes,0 a 5 personas,21.52266986,-87.37734953,1.5,2,4,estimate,4,
denue/10771358,POSADA LOS CORALES,721311,Pensiones y casas de huéspedes,0 a 5 personas,21.5229567,-87.37575156,1.5,2,4,google,4,
denue/9905193,SUITE PELECANO,721312,Departamentos amueblados,0 a 5 personas,21.52229188,-87.37769264,1.8,2,4,estimate,4,
denue/11214476,CASA DE HUESPEDES SQUALOS PLEACES,721311,Pensiones y casas de huéspedes,0 a 5 personas,21.51852518,-87.38310909,1.5,2,3,google,3,
denue/10637505,CASA ÑAÑA,721112,Hotel sin servicios integrados,0 a 5 personas,21.52322483,-87.38017153,3.0,4,3,booking,3,
denue/9279322,HOLBOX DELUXE APARTMENTS,721190,"Cabañas, villas y similares",0 a 5 personas,21.51849503,-87.38564872,2.4,3,3,estimate,3,
denue/9950656,HOTEL BOUTIQUE ALOHA,721112,Hotel sin servicios integrados,0 a 5 personas,21.5257217,-87.3747437,3.0,4,3,estimate,3,
denue/11219880,HOTEL CASA MAR,721112,Hotel sin servicios integrados,0 a 5 personas,21.52589881,-87.37499955,3.0,4,3,booking,3,
denue/9032208,PARADISE PAMLS HOTEL,721112,Hotel sin servicios integrados,6 a 10 personas,21.52607572,-87.37385446,8.0,10,3,booking,3,
denue/10851190,POSADA ANHELING,721311,Pensiones y casas de huéspedes,0 a 5 personas,21.52160566,-87.38034128,1.5,2,3,estimate,3,
denue/8132415,POSADA LA RAZA,721311,Pensiones y casas de huéspedes,0 a 5 personas,21.52351481,-87.37942138,1.5,2,3,estimate,3,
denue/8279948,POSADA ROCIO,721311,Pensiones y casas de huéspedes,0 a 5 personas,21.52136992,-87.37925939,1.5,2,3,estimate,3,
denue/12289230,,721312,Departamentos amueblados,0 a 5 personas,21.51834699,-87.3880034,1.8,2,,prior,2,
denue/9389786,BAR ARENA,721111,Hotel con servicios integrados,6 a 10 personas,21.52327831,-87.37916102,10.4,,,,,SÍ
denue/9425873,MAYAYMAR INMOBILIARIA,721111,Hotel con servicios integrados,6 a 10 personas,21.51860276,-87.3791073,10.4,,,,,SÍ
denue/11834173,RESTAURANTE BY XALOC,721112,Hotel sin servicios integrados,11 a 30 personas,21.52649862,-87.37429918,20.0,,,,,SÍ
denue/9389734,RESTAURANTE MANGLE,721111,Hotel con servicios integrados,31 a 50 personas,21.53237908,-87.36619884,52.0,,,,,SÍ
denue/9389733,RESTAURANTE PEDALES,721111,Hotel con servicios integrados,31 a 50 personas,21.53237367,-87.36620603,52.0,,,,,SÍ
